Tempo,PosicaoX,PosicaoY
840,3917685.10,5518236.47
841,3911421.68,5522673.80
842,3905153.23,5527104.03
843,3898879.75,5531527.15
844,3892601.26,5535943.16
845,3886317.77,5540352.04
846,3880029.28,5544753.81
847,3873735.79,5549148.44
848,3867437.33,5553535.94
849,3861133.89,5557916.29
850,3854825.49,5562289.50
851,3848512.13,5566655.55
852,3842193.82,5571014.44
853,3835870.57,5575366.18
854,3829542.39,5579710.74
855,3823209.28,5584048.12
856,3816871.25,5588378.32
857,3810528.32,5592701.34
858,3804180.48,5597017.17
859,3797827.76,5601325.79
860,3791470.15,5605627.21
861,3785107.66,5609921.43
862,3778740.31,5614208.43
863,3772368.09,5618488.21
864,3765991.03,5622760.76
865,3759609.12,5627026.08
866,3753222.38,5631284.17
867,3746830.80,5635535.01
868,3740434.42,5639778.61
869,3734033.22,5644014.95
870,3727627.22,5648244.04
871,3721216.42,5652465.86
872,3714800.84,5656680.41
873,3708380.48,5660887.69
874,3701955.35,5665087.69
875,3695525.46,5669280.40
876,3689090.82,5673465.82
877,3682651.44,5677643.94
878,3676207.32,5681814.76
879,3669758.47,5685978.28
880,3663304.90,5690134.48
881,3656846.62,5694283.36
882,3650383.63,5698424.92
883,3643915.95,5702559.16
884,3637443.59,5706686.06
885,3630966.55,5710805.61
886,3624484.84,5714917.83
887,3617998.46,5719022.69
888,3611507.44,5723120.20
889,3605011.76,5727210.35
890,3598511.46,5731293.14
891,3592006.52,5735368.55
892,3585496.97,5739436.59
893,3578982.80,5743497.24
894,3572464.03,5747550.51
895,3565940.67,5751596.39
896,3559412.72,5755634.87
897,3552880.19,5759665.94
898,3546343.09,5763689.61
899,3539801.43,5767705.87
900,3533255.22,5771714.71
901,3526704.47,5775716.13
902,3520149.18,5779710.11
903,3513589.36,5783696.67
904,3507025.02,5787675.79
905,3500456.18,5791647.46
906,3493882.83,5795611.68
907,3487304.99,5799568.45
908,3480722.66,5803517.76
909,3474135.85,5807459.61
910,3467544.58,5811393.99
911,3460948.85,5815320.89
912,3454348.67,5819240.32
913,3447744.04,5823152.26
914,3441134.98,5827056.71
915,3434521.49,5830953.67
916,3427903.59,5834843.12
917,3421281.28,5838725.08
918,3414654.57,5842599.52
919,3408023.46,5846466.45
920,3401387.98,5850325.86
921,3394748.11,5854177.74
922,3388103.89,5858022.10
923,3381455.30,5861858.92
924,3374802.37,5865688.21
925,3368145.09,5869509.94
926,3361483.48,5873324.13
927,3354817.55,5877130.77
928,3348147.31,5880929.85
929,3341472.76,5884721.36
930,3334793.91,5888505.30
931,3328110.77,5892281.68
932,3321423.35,5896050.47
933,3314731.66,5899811.68
934,3308035.71,5903565.30
935,3301335.50,5907311.33
936,3294631.05,5911049.76
937,3287922.35,5914780.58
938,3281209.43,5918503.81
939,3274492.29,5922219.41
940,3267770.94,5925927.40
941,3261045.39,5929627.77
942,3254315.64,5933320.52
943,3247581.70,5937005.63
944,3240843.59,5940683.10
945,3234101.31,5944352.94
946,3227354.87,5948015.13
947,3220604.28,5951669.67
948,3213849.54,5955316.55
949,3207090.68,5958955.78
950,3200327.69,5962587.34
951,3193560.58,5966211.23
952,3186789.36,5969827.44
953,3180014.05,5973435.98
954,3173234.64,5977036.84
955,3166451.16,5980630.01
956,3159663.60,5984215.48
957,3152871.98,5987793.26
958,3146076.30,5991363.34
959,3139276.57,5994925.71
960,3132472.81,5998480.37
961,3125665.02,6002027.32
962,3118853.21,6005566.55
963,3112037.39,6009098.05
964,3105217.56,6012621.82
965,3098393.74,6016137.86
966,3091565.94,6019646.16
967,3084734.16,6023146.72
968,3077898.41,6026639.53
969,3071058.70,6030124.59
970,3064215.04,6033601.89
971,3057367.44,6037071.44
972,3050515.91,6040533.21
973,3043660.46,6043987.22
974,3036801.09,6047433.46
975,3029937.81,6050871.91
976,3023070.64,6054302.59
977,3016199.58,6057725.47
978,3009324.64,6061140.57
979,3002445.82,6064547.87
980,2995563.15,6067947.36
981,2988676.62,6071339.06
982,2981786.25,6074722.94
983,2974892.05,6078099.01
984,2967994.01,6081467.26
985,2961092.16,6084827.70
986,2954186.51,6088180.30
987,2947277.05,6091525.07
988,2940363.80,6094862.01
989,2933446.77,6098191.11
990,2926525.96,6101512.36
991,2919601.39,6104825.77
992,2912673.07,6108131.32
993,2905741.00,6111429.02
994,2898805.19,6114718.86
995,2891865.65,6118000.83
996,2884922.40,6121274.93
997,2877975.43,6124541.16
998,2871024.76,6127799.51
999,2864070.40,6131049.98
1000,2857112.35,6134292.56
1001,2850150.63,6137527.25
